Timestamp,I am proud to work at AP,I would recommend AP to my friends or colleagues as a great place to work,I rarely think about looking for a job at another company,I see myself still working here in two years' time,AP motivates me to go beyond what I would in a similar role elsewhere,Communication from leadership is frequent and transparent,The leaders in my organization provide clear direction and guidelines for the future,"I receive regular, constructive feedback from my manager",I feel supported and comfortable approaching my manager with concerns and constructive feedback,I am satisfied with my job overall,My workload is manageable and realistic while continuing to challenge and stimulate me,I often feel like I'm just checking tasks as done instead of creating meaningful impact (reverse scored),I feel comfortable with our unlimited PTO policy and taking time off when I need it,I have access to the things I need to do my job well,Most of the systems and processes here support us getting our work done effectively,I feel empowered to bring new ideas to the team,I can voice a contrary opinion without fear of negative consequences,I know what I need to do to be successful in my role,I understand how my work contributes to company goals,Quality and improvement are top priorities when making decisions,"When I need to work with other areas (EPD, GTM, Ops, Support), the collaboration is smooth and productive",I receive appropriate recognition when I do good work,I am satisfied with the current performance review process and career progression,I have access to the learning and development I need to do my job well,My manager (or someone in management) has shown a genuine interest in my career aspirations,I feel that my voice and opinions are heard and valued by my leadership and peers,"I feel psychologically safe to take risks, make mistakes and learn from them",AP is dedicated to diversity and inclusiveness,AP demonstrates a commitment to the wellbeing of employees,I understand the AP values,How would you describe the current company culture?,I am satisfied with my current compensation,I understand our benefits policy,I am satisfied with my current benefits package,"What are some things you want to share with us? Feel free to share, but not limited to: what's working well and we should continue to do, what we're not doing so great and should aim to change.",Which of these best describes your primarly area?
9/2/2025 11:18:46,5,5,5,5,5,4,4,4,5,5,4,1,5,4,4,5,5,4,4,5,4,4,3,3,4,5,4,5,5,5,"Collaborative, Supportive, Transparent, Fast-paced, Flexible",4,3,3,,"Engineering, Product & Design"
9/2/2025 13:32:19,5,5,5,5,5,5,5,4,5,5,5,1,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,3,5,5,"Collaborative, Results-driven, Transparent, Fast-paced",5,4,5,,"Engineering, Product & Design"
9/2/2025 13:46:01,4,4,4,5,5,4,3,2,2,3,4,2,4,4,4,4,3,5,5,5,4,4,2,3,3,3,3,5,4,4,"Collaborative, Innovative, Results-driven, Fast-paced",2,3,2,,"Commercial, Operations & Support"
9/2/2025 14:03:26,5,4,3,4,3,4,3,5,5,4,4,2,5,5,4,5,5,3,5,3,4,3,2,2,5,5,3,3,4,3,"Collaborative, Results-driven, Fast-paced",2,2,2,,"Engineering, Product & Design"
9/2/2025 14:07:45,3,2,2,3,3,3,2,2,4,2,3,3,4,5,5,5,5,4,5,5,4,4,1,4,5,5,4,5,4,5,"Collaborative, Fast-paced, Flexible, Stressful",5,4,3,,"Engineering, Product & Design"
9/2/2025 14:09:17,5,4,5,5,5,3,3,2,3,5,5,2,5,5,5,5,4,4,5,5,5,5,5,5,3,5,5,3,5,5,"Collaborative, Supportive, Results-driven, Transparent, Fast-paced, Flexible",4,2,4,,"Engineering, Product & Design"
9/2/2025 14:16:49,4,2,2,3,3,1,2,2,3,2,4,2,5,3,3,3,3,4,5,4,4,4,3,4,3,4,4,4,4,5,"Collaborative, Results-driven, Fast-paced, Flexible",2,5,4,"When disruptive behavior isn’t addressed, it affects team morale and makes it harder to stay positive. The bigger challenge is the lack of visibility into how concerns are handled without transparency, it can feel like issues just linger. Having clearer HR processes and leadership follow through would help build more trust across the team.","Commercial, Operations & Support"
9/2/2025 15:10:36,5,5,5,5,5,4,3,3,4,5,3,2,3,5,5,5,4,4,5,5,5,4,3,5,1,4,3,4,4,5,"Collaborative, Supportive, Results-driven, Transparent, Fast-paced, Stressful",4,4,4,,"Engineering, Product & Design"
9/3/2025 10:38:53,5,4,5,5,5,5,4,4,4,5,5,2,1,5,5,5,5,5,5,5,5,3,3,5,4,5,5,5,4,5,"Collaborative, Innovative, Supportive, Results-driven, Flexible",4,4,4,I would like the PTO to be encouraged by the company.,"Engineering, Product & Design"
9/3/2025 14:48:50,4,3,4,5,3,4,3,5,5,3,4,2,2,4,4,4,4,5,5,4,4,5,2,4,4,4,4,4,4,4,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Fast-paced, Stressful",2,4,4,"- We do a great job building a great team environment and tight knit relationships both inside teams and across departments. Let's find ways to continue that as we scale. 
- We do a great job supporting each other and working as a team to achieve our goals, again wether its internally among one team or cross departmental. Feels like even though we have our individual targets, we're still all focused on the big picture. 

- We should take another look at base salary with us moving to a hybrid work schedule vs. remote as additional expenses are now being incurred.
- Large expenses for conferences (things like flights) should not be fronted by reps and should be put on some sort of company card, especially as they can get quite costly. 

- Look into possibility of ramp programs for those looking to get promoted to new titles. Understand and agree with the value in showing your own initiative but there could be a more structured approach and clearer program that will allow employees to ramp to where they want to be and provide clearer guidelines of what it takes to get promoted. ","Commercial, Operations & Support"
9/3/2025 15:48:18,5,5,4,5,4,5,4,5,5,4,4,2,4,4,4,5,4,5,5,5,4,5,5,4,5,5,4,5,5,5,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Transparent, Fast-paced, Flexible",4,5,3,"The company dynamic is really fun and collaborative. People come from differnt work backgrounds and we all come together to share experiences, what has worked and what has not. Everyone is a valuable contributor to the company success. I like that we make an effort to all (with the exception of Eng, who is in Brazil) to get together every few months to really build on the team culture of being able to work together. I think we do a really great job at hiring and making sure the people brought onboard would be good for the culture and provide positivity and energy to create something big together. I love that Baxter includes us on the Alt journey and wants us to be included on the growth and success. Maybe an improvement could be something like having an SE or some sort of liason locally that works with the Engineers and that also has access to the backend. This was be particularly useful if someone needs someone technical to join a quick call, for the folks in the West who work a bit later in the day and need something resolved, or anyone who needs immediate assistance. This could also help with faster response times to tickets. The Engineers are really great - not a complaint at all, more of a future suggestion as we continue to grow ","Commercial, Operations & Support"
9/3/2025 16:42:47,5,5,5,5,5,5,4,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,"Collaborative, Supportive, Results-driven, Fast-paced",5,3,4,,"Commercial, Operations & Support"
9/4/2025 23:36:39,5,4,4,4,5,5,2,4,5,4,3,4,5,2,2,3,4,5,5,3,3,4,2,2,1,3,3,4,3,3,"Results-driven, Fast-paced",4,4,2,"Areas for Improvement:

Benefits Package – Offering a more comprehensive benefits package would make a big difference. Now that we are back in the office, a transportation allowance or meal allowance would help offset daily costs.

Retirement Planning – Introducing a pension plan (such as RRSP contributions) would provide long-term financial security and align with what many companies already offer.

Compensation Structure – Most companies provide annual salary increases, but this is currently missing. Implementing yearly salary reviews and increases would help employees feel valued and rewarded for their contributions.

Annual Bonus Program – A performance-based annual bonus structure (or another form of yearly compensation in addition to salary) would motivate employees and acknowledge achievements.

Career Growth & Development – Building a clear structure for career progression within the company would help employees envision their long-term future here.

Learning & Development – Establish programs for continuous learning, such as training, certifications, conferences, or workshops. This would help teams stay current with industry trends and sharpen their skills.

Investment in Tools & Resources – Continued investment in software, resources, and people is essential to support teams in performing their roles efficiently and effectively.

Company Outings/Activities – Whenever possible, team outings or special activities should take place during business hours to respect personal time and work-life balance.

Work-from-Office Policy – Reconsider the Toronto office requirement. Limiting in-office days to a maximum of two per week would create more fairness, especially since half of the company works remotely from Brazil, some work remotely from Vancouver, and many Ontario-based employees live two hours away from downtown Toronto.","Commercial, Operations & Support"
9/5/2025 10:12:30,4,4,4,5,3,3,2,3,4,3,3,4,2,4,2,3,2,2,4,3,4,3,2,5,4,3,2,5,3,4,"Results-driven, Fast-paced, Stressful",4,2,1,"One key area of improvement would be better communication on action plans for the direction of the business. We do share high level plans and goals of what we hope to see, but often times don't communicate when plans change causing confusion across each department. We should continue to have open office hours and leadership calls that allow us to bring forward questions, but also should be more proactive in sharing changes to business strategy and plans as this often times impacts employee moral and engagement.","Commercial, Operations & Support"
9/5/2025 10:13:38,5,5,5,5,5,3,3,4,4,5,4,2,5,2,4,5,4,4,5,4,4,3,1,3,4,5,3,4,4,3,"Results-driven, Fast-paced, Stressful",1,1,3,,"Commercial, Operations & Support"
9/5/2025 10:29:51,4,4,4,4,4,3,4,4,5,4,4,2,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Fast-paced",4,4,3,,"Commercial, Operations & Support"
9/5/2025 10:42:24,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Transparent, Fast-paced, Flexible",5,4,5,,"Engineering, Product & Design"
9/5/2025 10:59:56,4,4,4,4,4,4,4,4,5,4,4,3,5,2,2,4,4,4,4,4,4,5,4,2,4,4,4,4,4,4,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Transparent, Fast-paced, Flexible",5,5,2,"- RRSP contribution: It would be great to have a plan in place for employer RRSP contributions to help support long-term financial wellness.
- Official remote work policy: One of the benefits of joining AP was the flexibility of being fully remote. Having an official policy in place would help everyone understand expectations while maintaining the ability to travel and work from different locations.
- Small product improvements: While we’ve made huge strides in developing exciting new features, some of the basics can be overlooked. Prioritizing smaller, high-impact improvements would go a long way. For example, adding the ability to search by invoice number within transactions or improving overall search functionality.
- Career growth: Providing clear career paths, including opportunities to transition into other departments, would help employees see a future with the company and plan their growth.
- Bonus structures: Establishing transparent bonus structures would be a great way to reward performance and motivate the team.
Company meet-ups: When we’re all together, it would be valuable to have more structured offsites with intentional planning and activities to make the most of our time in person. Most of the time we spend it doing presentations, and I think people would enjoy using that time to actually hang out and get to know each other.
- Learning & development opportunities: Support for professional growth through training programs, certifications, and attendance at role-specific conferences would help the team stay current and continue building expertise in their areas.","Commercial, Operations & Support"
9/5/2025 11:26:57,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,"Results-driven, Fast-paced",5,5,4,,"Commercial, Operations & Support"
9/5/2025 11:50:59,5,3,3,4,4,1,2,1,1,3,3,4,5,3,1,4,4,3,4,4,4,1,1,1,2,2,3,4,3,4,"Collaborative, Results-driven, Fast-paced, Stressful",2,3,1,I enjoy the grind and grit of everyone collaborating together. It feels like internally promoting staff is no longer a priority and I feel like there is no transparency in communication of career growth/path. ,"Commercial, Operations & Support"
9/5/2025 13:25:46,5,5,4,5,5,3,3,2,2,4,3,3,2,4,4,5,2,3,5,3,5,3,1,2,2,4,2,3,3,4,"Collaborative, Results-driven, Transparent, Fast-paced, Stressful",3,1,2,"I think we should focus more on culture. Having someone in the company dedicated to career development, culture, performance reviews, and benefits would really help strengthen people’s growth, behavior, and engagement.","Engineering, Product & Design"
9/5/2025 13:27:09,5,2,2,2,4,1,2,3,3,2,2,3,4,2,2,3,3,2,5,2,5,2,1,2,1,2,1,4,1,3,"Innovative, Results-driven, Stressful",1,2,1,,"Commercial, Operations & Support"
9/5/2025 13:47:43,5,5,5,5,5,5,4,4,3,5,4,3,2,3,2,4,5,3,5,3,4,4,4,3,1,5,1,5,4,5,"Collaborative, Supportive, Results-driven, Fast-paced, Stressful",5,4,2,,"Commercial, Operations & Support"
9/7/2025 21:44:08,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,4,3,5,5,5,4,5,5,5,5,4,4,5,5,5,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Transparent, Fast-paced, Flexible",4,4,3,,"Commercial, Operations & Support"
9/8/2025 10:26:56,5,4,4,5,4,4,4,4,5,4,5,1,4,5,5,5,5,3,4,5,5,3,3,5,4,4,2,4,4,5,"Collaborative, Supportive, Results-driven, Transparent, Flexible",2,5,5,,"Engineering, Product & Design"
9/8/2025 17:59:39,5,4,5,5,5,2,3,3,3,4,4,3,3,4,4,4,3,5,5,5,4,4,3,3,2,3,4,4,4,5,"Collaborative, Innovative, Supportive, Results-driven",3,2,3,,"Commercial, Operations & Support"
9/8/2025 18:09:38,5,5,5,5,5,4,4,3,4,5,4,1,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,3,4,5,"Collaborative, Results-driven, Transparent, Fast-paced",5,5,3,,"Commercial, Operations & Support"
9/8/2025 18:37:42,5,4,5,5,5,4,4,4,4,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Transparent, Fast-paced, Flexible, Stressful, Bureaucratic",3,3,3,,"Commercial, Operations & Support"
9/9/2025 23:16:22,5,4,5,5,5,5,4,5,5,4,4,1,3,3,3,5,5,5,5,5,5,4,4,3,4,5,5,5,5,5,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Fast-paced",4,3,3,,"Commercial, Operations & Support"
